no, Protocol, SrcIP, SrcPrt, DstIP, DstPrt, status, dst, src, type, Payload
13,TCP,20.42.65.89,443,192.168.1.4,60178,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,"b'\x17\x03\x03\x01\xd6\x00\x00\x00\x00\x00\x00\x00\x01\xd9\xd6\x82U\xd8\xd6\xc9\xdfD\xc4#\x8bcB/R\x9a\xf0\xcd\x16c\x88\r\xdc\x07\xbe0J\xe5\xde\xb8X\xdd\xaf\x9dm\xd2\x94\x13\x171\xa9X8-\x1d\xe9\x9a\xe9\xf2\\\xc7@\xb8)\xb9M,\xcd\x88\xa4\x99%\x05\x84\x99vTj\xa39\x95\xf4\xab \x0b\xa2\xc5%\x93o\x03\x93\x88\xa1\xaf\x86*Vj\xeb\xeb\xd5\xaa\xd2\x97\xa8\x0b\xc2~\x19-\xa2LW/1!\xb8\xdf\xca_\x95""\xcb9o\xeeE\xf85\xb0\xa0\x02\xdbLe\xdaZ\x9c\xb9\x9b\x8f\xff\xfe\xe0;\x9d\xf5\x98\xa4M\xacn\x9ae4m\xa4\xe7y\xbe\x07J\x07\x85\x1a\x1a\x93\xab\x9c\x1b\x11\x9a\xda\xe2\x8f\x94A\x13\x8aJj\xaf\xfa:\x96\xb4\xc2\xa0\x86\xea*e\x0e\xc0\x1f\xba\x97\x89\xff\x84\xf8\xc1\x1b\xdbH\x15\xd5\xdf\x87\x82E=\xceW\xda\r*\x16\xfa\x93\x97n\x8ce\xea\x8c9z\xb6{\x01\xe0d\x89\xb2?\x99\xdd\x1eC\xf9\\\xd5#\xfc\xa4\x1e]+\xce\x10\x81\x06h\xd3S\xcc\xba7\xdfv\xf1i5\xaf\xa5\xef|\x18so<\x85B\x06E\x19e\xa21\x85\x04\\\x96\x04[\xa5\x93\xdd\xa2\x8b\xf7\x93\x95\x81\xbe\xda\xe1\xbb\x89X\xf1\x9aE0E\x12\xf7H\xc6\x15p\xc5\xf5\xb0\xaf\x14\x06\x0c\x1d{\t\xbcA\xa1\x986S\xbd\xaf\x0b""\'\x168V8\xb1k\xaa\x88\xf1\x1a\xa9[/v\x833\xaf\xb96\xce\xe6D\x0c\x82\xbb\'\x9c\xd6T\x12({=\xabw\x9a\xb2i\xf9Y\x04:$\x9f\r\x0c\x08&\x97V\x81G\x85\xc8h\x07\xc2\xcf\x9aG\xa7\x94Wl\xb7\xb8\x0b>I\xcfR\x97\xd7W\xfcu\x81\x91\x93\x00a\x98\xafQ\xfa\xd2\x1b*-\xe8\xfeQy\x95\x82\xf1\xd5\x93\xab\x16v\x85\xb1\xa3\x85\x8b\x93\x94c\x97\x0fL\xc4\x11\x07\t\x8e\te\xfc\x8f\x8a %\x15\xe5\x19\xf0$\xac\x95\xe66\xd3E\xb6\xd6'"
14,TCP,192.168.1.4,60179,20.42.65.89,443,Sent,08:8f:c3:10:e6:96,b4:f5:8e:54:c4:24,
15,TCP,20.42.65.89,443,192.168.1.4,60179,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,"b""\x14\x03\x03\x00\x01\x01\x16\x03\x03\x00(\x00\x00\x00\x00\x00\x00\x00\x00\xfb\xd05P\x13k[B'\xa9\xba\x9b\xfb\x96 \xa7\x16\xdb\x99\xdcK\x7f\xff\xd0)6\x19rZ\xd00\xcf"""
16,TCP,20.42.65.89,443,192.168.1.4,60179,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,
17,TCP,192.168.1.4,60180,20.42.65.89,443,Sent,08:8f:c3:10:e6:96,b4:f5:8e:54:c4:24,
18,TCP,20.42.65.89,443,192.168.1.4,60180,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,b'\x14\x03\x03\x00\x01\x01\x16\x03\x03\x00(\x00\x00\x00\x00\x00\x00\x00\x00M\xfc7h.\xf1W\xd3\x14\x981\xe7\xea\xe4JO\xce+U\xb0T\xf7Y[%\xc1\xbd\xad?2\x01J'
19,TCP,162.159.133.234,443,192.168.1.4,53739,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,"b'\x17\x03\x03\x00\x1d\xc0wc!\xe8\xa2\x8e\xf6\xdcw)|\xa5\xb4p\xdfm\x0e\xdfxE\xd2""O%\xbc1\x93\x1c'"
20,UDP,192.168.1.4,49466,192.168.1.1,53,Sent,08:8f:c3:10:e6:96,b4:f5:8e:54:c4:24,
21,TCP,20.42.65.89,443,192.168.1.4,60182,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,"b'\x16\x03\x03\x11\x91\x02\x00\x00Q\x03\x03dw#_\x1d\xc6xJ?\x0b_\xfd\xe5Mc)\xa97\xcd\x96\xc6\x10\xc8\xc44\xc0\x0bS\xf1""#\xad \xf72\x00\x00<2\x8f\x96\xab\tX\xac $\x14\xd1\xef\xc00\xe4\x95\x9d\xe0\xc4\xaf\xa5\xde^\xa8\xf9\xb8c\xc00\x00\x00\t\x00\x17\x00\x00\xff\x01\x00\x01\x00\x0b\x00\x0f\xc7\x00\x0f\xc4\x00\t\xc70\x82\t\xc30\x82\x07\xab\xa0\x03\x02\x01\x02\x02\x133\x00\x98s\xd9T\x8cY\xce1\x8f\x92 \x00\x00\x00\x98s\xd90\r\x06\t*\x86H\x86\xf7\r\x01\x01\x0c\x05\x000Y1\x0b0\t\x06\x03U\x04\x06\x13\x02US1\x1e0\x1c\x06\x03U\x04\n\x13\x15Microsoft Corporation1*0(\x06\x03U\x04\x03\x13!Microsoft Azure TLS Issuing CA 020\x1e\x17\r230308090243Z\x17\r240302090243Z0r1\x0b0\t\x06\x03U\x04\x06\x13\x02US1\x0b0\t\x06\x03U\x04\x08\x13\x02WA1\x100\x0e\x06\x03U\x04\x07\x13\x07Redmond1\x1e0\x1c\x06\x03U\x04\n\x13\x15Microsoft Corporation1$0""\x06\x03U\x04\x03\x0c\x1b*.events.data.microsoft.com0\x82\x01""0\r\x06\t*\x86H\x86\xf7\r\x01\x01\x01\x05\x00\x03\x82\x01\x0f\x000\x82\x01\n\x02\x82\x01\x01\x00\xbf_\x1e\r\x99B\xae`\xae\xf8\xa9\xdbq\x86m\x1d\xd3\xde4ql1\xea\x02\xa6\xd5\xba\xb7\x89J\xab\xa5\xb9\xcb]\xb1\x9d\xc3\xe0\xfaH\xb6d\xa7\x91w\xd4\xe3\x046\xb6it\x08Z\xaag\xd2\xe0\xa1\x159\xaa\x14\x8b\xc4\x104\\{fs\x7f\xad\xce\xa7\xe4#\xa3\xd2\x02v\xf1\x9c\x05|x8\xd3\xbb\x03\xc6\xf2\x13\xaa\xa4\xba\x06\xf5Nd\xfaW<\xbc\xb0\xb6\x8c\x17\x9eFA\xf8\xca\x83U \x93\xb5b\xb6\x13T\xdf\xde\x03\x808\xb6\xed<\x05Aa\xc1\xe9(s\x07ZDd%m\xa0At\xb4\x07L\xeb\n[\xeb2Z\xa4\x81\xd8\xb2I\xbe\x08\xe3\\9dEI\xe3\xb0\xdb=iOy%\xa8!\xf4\xef\xd9\x92&\x1b\x7f\xd6(\x1b\xe1\x8a\xfc\x19P\x91\x80_b\xa1k\xd8\xf3h/\xd5S\x94\x15k\x17pg=E\xc6\xe6m[\xf4\xae\xae\xe1.W\xdbI3\xe7\xba\x91#G\t\x9c\xe0\xde\xa3\x9f\xfd\x07I\x87\x94\xd3~\xe3\x9d\xe6~\xd2\xa5!\xf2S\xd6\xe5\x02\x03\x01\x00\x01\xa3\x82\x05i0\x82\x05e0\x82\x01{\x06\n+\x06\x01\x04\x01\xd6y\x02\x04\x02\x04\x82\x01k\x04\x82\x01g\x01e\x00u\x00\xee\xcd\xd0d\xd5\xdb\x1a\xce\xc5\\\xb7\x9d\xb4\xcd\x13\xa22\x87F|\xbc\xec\xde\xc3QHYFq\x1f\xb5\x9b\x00\x00\x01\x86\xc0~\x9f\xc3\x00\x00\x04\x03\x00F0D\x02 w\xad\xcd\xd67\xc2|r\x82\xbd\xa8\xb1%d\xf1`\xeca\x14\xb7\'\xe5\x1f\x0f1\xbb\x07\x10\x15\xde)O\x02 /bm\xc3o6\x8d\xa9\xe5\xbe\t\x93\x8f\x0ey\xcd \xce\xea4\xe5\x90m\xf9o\xf1\xfa-\xc0RX%\x00u\x00s\xd9\x9e\x89\x1bL\x96x\xa0 }G\x9d\xe6\xb2\xc6\x1c\xd0Q^q\x19*\x8ck\x80\x10z\xc1wr\xb5\x00\x00\x01\x86\xc0~\xa05\x00\x00\x04\x03\x00F0D\x02 r\x80\x8d6\xd9*$\xdb(0\xbf\xacJN\xa4\xaf\\\xea\x03\xd9\x83\xad\x8fB,+lA~\r\x07\xe4\x02 L\x98\x1b\xef\xef\x0c\x03\x08\xf2\'\x1d!j\x1czK\x1fl\'\xf0\x19\xb7\x9f\x00\x95\xc4}1\n\x81\xc9\xd8\x00u\x00U\x81\xd4\xc2\x16\x906\x01J\xea\x0b\x9bW<S\xf0\xc0\xe48xp%\x08\x17/\xa3\xaa\x1d\x07\x13\xd3\x0c\x00\x00\x01\x86\xc0~\xa05\x00\x00\x04\x03\x00F0D\x02 MI\x01\xba\xe3!\x1e=JfX.\xa5\xd0\x14\x98\xbe\x92\xed\xae\xa7|\x917,\xde\xf0\x1b\x0e\x03\xfcF\x02 ]\xccCW\x10#|RVS\x10h\xeb\xd0\xbd\xb8\x0b\xc2\xfd\x9f1\x17s\x99\x0fb\x80""\x15\x1b\xfcT0\'\x06\t+\x06\x01\x04\x01\x827\x15\n\x04\x1a0\x180\n\x06\x08+\x06\x01\x05\x05\x07\x03\x020\n\x06\x08+\x06\x01\x05\x05\x07\x03\x010<\x06\t+\x06\x01\x04\x01\x827\x15\x07\x04/0-\x06%+\x06\x01\x04\x01\x827\x15\x08\x87\xbd\xd7\x1b\x81\xe7\xebF\x82\x81\x9d.\x8e\xd0\x0c\x87\xf0\xda\x1d]\x82\x84\xe5i\x82\xf3\xa7>\x02\x01d\x02\x01%0\x81\xae\x06\x08+\x06\x01\x05\x05\x07\x01\x01\x04\x81\xa10\x81\x9e0m\x06\x08+\x06\x01\x05\x05\x070\x02\x86ahttp://www.microsoft.com/pkiops/certs/Microsoft%20Azure%20TLS%20Issuing%20CA%2002%20-%20xsign.crt0-\x06\x08+\x06\x01\x05\x05\x070\x01\x86!http://oneocsp.microsoft.com/ocsp0\x1d\x06\x03U\x1d\x0e\x04\x16\x04\x14\xa8R\x14\xc8{\xd9\xf9\xdb\xbf\xa7 ]\xb9\xf0:\xc5\xb5Y\xa4\r0\x0e\x06\x03U\x1d\x0f\x01\x01\xff\x04\x04\x03\x02\x04\xb00\x82\x01\x7f\x06\x03U\x1d\x11\x04\x82\x01'"
22,TCP,20.42.65.89,443,192.168.1.4,60182,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,
23,TCP,162.159.133.234,443,192.168.1.4,53739,Received,b4:f5:8e:54:c4:24,08:8f:c3:10:e6:96,"b'\x17\x03\x03\x001\x9db\xf8\xd1<\x1e\xb0v\xb9\xd7:I\x0f\xa4\xb4\x9d8\xda""\x9f\x1c,I\xc5-\x85\x1c\xfa.\x8dU\xb6\xc9j`\x9cs\xd2oG\x00\xa7#\x91\xa8#\xd2\x8ev'"
